start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
288.92630158730157,289.0888412698413,33,108,2,2,1,1,1,1,1,1,1,1,1,1,1,1
288.4967324263038,289.0888412698413,45,77,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
287.97299954648525,288.53156235827663,40,101,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
287.6479201814059,288.1019931972789,33,97,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
287.29962086167797,287.40411065759633,45,45,2,1,1,1,1,1,1,1,1
287.29962086167797,287.6479201814059,33,89,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
287.0906412698412,287.21835102040814,38,64,3,3,2,2,2,2,2,2,2,3,3
286.684292063492,287.06742131519275,40,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,-2,-2
286.34760272108844,286.684292063492,40,102,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
286.17345306122445,286.34760272108844,40,100,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
285.9980195011338,286.1386231292517,38,62,1,0,0,0,0,0,0,1,1,2,2,2,2
285.64972018140594,285.82386984126987,50,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285.64972018140594,285.9980195011338,38,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285.5568403628118,285.73099002267577,45,92,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
285.25498095238095,285.5568403628118,45,107,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
284.7093120181406,285.32464081632656,38,96,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
284.3610126984127,284.7093120181406,37,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3
283.91854965986397,284.38423265306125,44,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
283.3961006802721,283.5005904761905,36,50,-1,-1,-1,-1,3,3,3,3,3
283.082631292517,283.3961006802721,35,102,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
282.75755192743765,283.22195102040814,42,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282.0957832199546,283.082631292517,35,93,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281.8971297052154,282.013229478458,36,59,2,2,2,2,0,0,0,0,0,0
281.6068802721088,281.7345900226757,49,35,1,1,1,1,1,1,1,1,1,1,1
281.6068802721088,281.8971297052154,37,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-1,-1,-1
281.18892108843534,281.6068802721088,42,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
280.6664721088435,281.2121410430839,37,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280.12080317460317,280.63164217687074,44,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1
279.7828299319728,280.06146938775515,49,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
279.5041904761905,279.60868027210887,49,48,0,1,1,1,1,1,1,1,1
279.1907210884354,279.5970702947846,33,89,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
278.51734240362816,279.1907210884354,33,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
278.4592925170068,278.62183219954653,45,36,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1
