start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
288.9495215419501,289.0888412698413,33,109,1,1,1,1,1,1,1,1,1,1,1,1
288.9146916099773,289.0888412698413,45,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
288.4967324263038,288.9146916099773,45,92,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,0,0,0,1
288.007829478458,288.53156235827663,40,102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
287.62470022675734,288.14843310657596,33,96,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
287.29962086167797,287.43894058956914,45,43,0,1,1,1,1,1,1,1,1,1,1,1
287.2880108843537,287.62470022675734,33,87,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2
287.0906412698412,287.21835102040814,38,64,2,2,2,2,2,2,2,2,2,3,3
286.684292063492,287.06742131519275,40,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2
286.1618430839002,286.684292063492,40,104,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1
285.9980195011338,286.12701315192743,38,62,1,0,0,0,0,0,2,2,2,2,2,2
285.6845501133787,285.9980195011338,38,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285.64972018140594,285.82386984126987,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285.5916702947846,285.6845501133787,38,59,1,1,1,1,1,1,1,1
